,tokens,id,date,NER_labels,sentiment_labels,categ_labels
19,"['New' 'post' 'in' 'For' 'latest' 'deals' '/' 'coupons' 'on' 'amazon' '/'
 'flipkart' '/' 'myntra' '/' 'paytm' 'etc' 'and' 'for' 'faster' 'updates'
 'one' 'deals' '/' 'coupons' 'please' 'join' 'our' 'telegram' 'channel'
 'Link' 'to' 'join' 'channel' '{{URL}}' 'Or' 'just' 'search'
 '{{USERNAME}}' 'in' 'telegram' '{{URL}}' 'homefrdeals']",1251779634691260416,2020-04-19,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'O', 'B-corporation', 'O', 'B-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation']",neutral,LABEL_2
20,"['NEW' '{@Shonen Jump@}' 'chapters' 'for' '#' 'JujutsuKaisen' ',' '#'
 'UndeadUnluck' 'and' '#' 'AgravityBoys' 'out' 'today' '!!!' 'Also' 'NEW'
 'episode' 'of' '#' 'IDInvaded' 'today' '!!!!' 'Let' ""'s"" 'go' ','
 'Sunday' '!!' '!']",1221401079570685952,2020-01-26,"['O', 'B-creative_work', 'O', 'O', 'O', 'B-creative_work', 'O', 'O', 'B-creative_work', 'O', 'O', 'B-creative_work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative_work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",positive,LABEL_3
21,"['.' '{@Elizabeth Warren@}' 'you' 'have' 'been' 'my' 'candidate' 'since'
 'day' '1' 'and' 'my' 'first' 'political' 'campaign' 'contribution' '.'
 'You' 'are' 'an' 'inspiration' 'to' 'a' 'lot' 'of' 'people' ','
 'especially' 'young' 'women' '.' 'Thank' 'you' 'for' 'all' 'you' ""'ve""
 'done' 'and' 'will' 'do' '.' 'We' 'will' 'keep' 'up' 'the' 'fight'
 'right' 'along' 'side' 'you' 'as' 'we' '#' 'VoteBlue2020']",1235685730795413504,2020-03-05,"['O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-event']",positive,LABEL_3
22,"['Field' 'Hockey' 'travels' 'to' '{{USERNAME}}' 'for' 'a' '4pm' 'contest'
 ';' 'Video' ':' '{{URL}}' '-' 'Live' 'Stats' ':' '{{URL}}' '#' 'd3fh']",1174049130928386051,2019-09-17,"['B-group', 'I-group', 'O', 'O', 'O', 'O', 'O', 'B-event', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",neutral,LABEL_3
23,"['Had' 'an' 'awesome' 'burger' 'earlier' '!' 'Meaty' 'patty' ',' 'peanut'
 'butter' ',' 'chilli' 'jam' ',' 'maple' 'cheese' ',' 'caramel' '(?)'
 'waffle' ',' 'sweet' 'cure' '(?)' 'bacon' 'and' 'other' 'awesomeness'
 'wrapped' 'in' 'a' 'tasty' 'brioche' '.' 'Thanks' '{{USERNAME}}'
 'welcome' 'back' '{{USERNAME}}']",1221249292825964546,2020-01-26,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",positive,LABEL_3
24,"['Senior' 'Night' 'Friday' ',' 'November' '1' ',' '6:30' 'pm' 'Come'
 'show' 'your' 'appreciation' 'for' 'the' 'contributions' 'made' 'by'
 'Senior' 'football' 'players' ',' 'Cheerleaders' ',' 'and' 'Marching'
 'Band' 'members' '.' '{{USERNAME}}' '{{USERNAME}}' '{{USERNAME}}'
 '{{USERNAME}}' '{{USERNAME}}']",1190266679978287104,2019-11-01,"['B-event', 'I-event', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-group', 'I-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",positive,LABEL_1
25,"['12th' 'April' '(' '{@Vatican News@}' 'By' 'Sr' 'Bernadette' 'Mary'
 'Reis' ',' 'fsp' ')' '#' 'PopeFrancis' '#' 'Pope' 'Francis' 'at' 'Easter'
 'Vigil' ':' '‘' 'Even' 'from' 'the' 'grave' 'Jesus' 'brings' 'life’'
 '{{URL}}']",1249155270183473153,2020-04-12,"['O', 'O', 'O', 'B-product', 'O', 'B-person', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O', 'B-person', 'O', 'B-person', 'I-person', 'O', 'B-event', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O']",neutral,LABEL_0
26,"['I' 'have' 'never' 'been' 'excited' 'for' 'American' 'football' 'in'
 'all' 'of' 'my' 'life' '(' 'even' 'when' 'my' 'brother' 'played' 'in'
 'high' 'school' ')' 'but' 'after' 'watching' 'the' 'XFL' 'games'
 'yesterday' ',' 'I' 'think' 'I' 'might' 'start' 'taking' 'an' 'interest'
 '.' '{{USERNAME}}']",1226566376086757376,2020-02-09,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-event', 'I-event', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",positive,LABEL_1
27,"['A' 'great' 'performance' 'from' 'our' 'U15s' 'today' 'over'
 '{{USERNAME}}' '.' 'Both' 'teams' 'battled' 'hard' 'in' 'tough'
 'conditions' 'but' 'in' 'the' 'end' 'it' 'was' 'the' '#' 'BlueArmy'
 'that' 'booked' 'their' 'place' 'in' 'the' 'League' 'Cup' 'Semi' 'Final'
 '.']",1231579354897035265,2020-02-23,"['O', 'O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'B-event', 'I-event', 'I-event', 'I-event', 'O']",positive,LABEL_1
28,"['Eid' 'Mubarak' 'once' 'again' 'This' 'is' 'a' 'joyous' 'occasion' 'for'
 'every' 'Muslim' 'and' 'I' 'hope' 'everyone' 'reading' 'this' 'enjoys'
 'themselves' 'Eid' 'Mubarak' 'everyone' 'This' 'is' 'a' 'joyous'
 'occasion' 'for' 'every' 'Muslim' 'and' 'I' 'hope' 'everyone' 'enjoys'
 'themselves' 'today' '#' 'PakArmysEidWith' '_' 'BTS' '#' 'EidMubarak'
 '{@ARY News@}']",1264434186389196800,2020-05-24,"['B-event', 'I-event', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-event', 'I-event', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product']",positive,LABEL_0
29,"['Taika' 'Waititi' 'Directed' ""'"" 'The' 'Mandalorian' ""'"" 'In' 'His'
 'Pyjamas' 'From' 'A' 'Sofa' '!' '-' 'Fantha' 'Tracks' '{{URL}}'
 '{{USERNAME}}' '#' 'themandalorian']",1196179303114952704,2019-11-17,"['B-person', 'I-person', 'O', 'O', 'B-creative_work', 'I-creative_work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative_work', 'O', 'O', 'O', 'O', 'O']",neutral,LABEL_3
30,"['Sense' 'cruel' 'child' 'murders' 'on' 'Christmas' 'Day' 'make' 'me'
 'realize' 'once' 'again' 'we' 'have' 'to' 'put' 'children' 'first' 'on'
 'the' 'national' 'agenda' '.' 'That' ""'s"" 'one' 'more' 'reason' 'why'
 '{@Elizabeth Warren@}' 'is' 'the' 'best' 'candidate' 'for' 'President'
 'of' 'the' 'United' 'States' '.' '#' 'wecandobetterUSA' '#'
 'dontletselfservingTrumpiansfoolyou' '#' 'edchat']",1210861717695152131,2019-12-28,"['O', 'O', 'O', 'O', 'O', 'B-event', 'I-event', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",positive,LABEL_3
31,"['SOCCER' 'CHANGES' 'TODAY' 'vs' '{{USERNAME}}' 'JV' 'moved' 'back' 'to'
 '5' 'today' 'and' 'varsity' 'to' '6' '30' 'instead' 'of' '4' '30' 'and'
 '6' '.' 'JV' 'game' 'shortened' 'to' '30' 'min' 'halves' 'running'
 'clock' 'and' 'both' 'games' 'mandatory' 'water' 'breaks' '.']",1172207842163679234,2019-09-12,"['B-group', 'I-group', 'I-group', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-event', 'I-event', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",neutral,LABEL_1
32,"['I' 'get' 'that' 'Orange' 'man' 'is' 'bad' '.' 'Still' 'waiting' 'for'
 'the' '{@Democratic Party@}' 'to' 'actually' 'address' 'what' 'the'
 'problems' 'are' 'and' 'actual' 'solutions' '.' 'I' 'donated' 'to'
 '{@Andrew Yang🧢⬆️🇺🇸@}' 'but' 'as' 'of' 'now' 'you' 'guys' 'wo' 'n’t'
 'even' 'get' 'my' 'vote' '.' '#' 'Freethebear']",1264797242503749632,2020-05-25,"['O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",negative,LABEL_3
33,"['World' ""'s"" 'oceans' 'at' 'a' 'tipping' 'point' ',' 'indicates' 'UN'
 ""'s"" 'Intergovernmental' 'Panel' 'on' '#' 'Climate' 'Change' 'report'
 '{{URL}}' 'via' '{@ABC News@}']",1177008594077642753,2019-09-25,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'O', 'B-corporation', 'O', 'O', 'O', 'O', 'I-event', 'O', 'O', 'O', 'B-product']",neutral,LABEL_3
34,"['OKAY' 'BUT' 'I' 'GOT' 'SO' 'EXCITED' 'OVER' 'WATERMELON' 'SUGAR' 'I'
 'FULL' 'ON' 'CRIED' '{@Harry Styles.@}']",1195943698103705601,2019-11-17,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative_work', 'I-creative_work', 'O', 'O', 'O', 'O', 'B-person']",positive,LABEL_3
35,"['{{URL}}' '{@Archive: Governor Andrew Cuomo@}' '.' 'You' ""'re"" 'all'
 'about' 'the' 'science' 'and' 'data' '.' 'Here' 'is' 'some' 'scientific'
 'data' 'for' 'you' '.' 'Can' 'we' 'all' 'breathe' 'freely' 'now' '???'
 '?']",1284698428908412928,2020-07-19,"['O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",neutral,LABEL_3
36,"['VIDEO' ':' 'Antifa' 'Commandeers' 'Climate' 'Change' 'Rally' ',' 'Turns'
 'It' 'Into' 'Attack' 'On' 'Police' '{{URL}}' 'via'
 '{@Blue Lives Matter@}']",1177251338377469955,2019-09-26,"['O', 'O', 'B-group', 'O', 'B-event', 'I-event', 'I-event', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation']",neutral,LABEL_3
37,"['Pau' 'Gasol' 'Continues' 'Honouring' 'His' 'Friendship' 'with' 'Kobe'
 'Bryant' 'By' 'Looking' 'After' 'Vanessa' 'Bryant' 'and' 'Family' 'Post'
 'His' 'Death' '{{URL}}' 'via' '{{USERNAME}}']",1256583309427171329,2020-05-02,"['B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",neutral,LABEL_1
38,"['Halo' 'Infinite' 'analysis' '-' 'The' 'only' 'true' 'analysis'
 '{{USERNAME}}' '{{USERNAME}}' '{{USERNAME}}' '{{USERNAME}}'
 '{{USERNAME}}' '{{URL}}']",1287232930176278529,2020-07-26,"['B-product', 'I-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",neutral,LABEL_3
39,"['NP' 'I' 'f' '**' 'kin' 'love' 'you' '-' '{@Tameka Harris@}' 'on' '#'
 'TheHookUpShow' 'with' '{{USERNAME}}' '#' 'TreatingYouLikeRoyalty' '#'
 'TheRadioBosss' '#' 'RaypowerNigeria' '#' 'August']",1292607697674735616,2020-08-09,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'B-creative_work', 'O', 'O', 'O', 'O', 'O', 'B-group', 'O', 'B-person', 'O', 'O']",positive,LABEL_3
